Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cole Swider,SF,23,LAL,6,0,6.7,0.5,1.5,.333,0.5,1.3,.375,0.0,0.2,.000,.500,0.0,0.0,0,0.2,1.0,1.2,0.7,0.0,0.0,0.0,0.5,1.5
Jae'Sean Tate,SF,27,HOU,23,7,21.4,3.4,7.3,.467,0.4,1.4,.273,3.0,5.8,.515,.494,1.3,2.0,.674,1.5,2.2,3.7,2.5,0.6,0.2,1.5,3.3,8.5
Jayson Tatum,PF,24,BOS,60,60,37.3,9.9,21.4,.462,3.2,9.2,.350,6.6,12.1,.547,.537,7.2,8.4,.863,1.1,7.7,8.8,4.8,1.0,0.8,3.0,2.1,30.2
Terry Taylor,PF,23,TOT,28,2,8.4,1.1,2.4,.478,0.1,0.6,.222,1.0,1.8,.571,.507,0.2,0.3,.714,0.8,0.6,1.4,0.4,0.1,0.2,0.3,0.9,2.6
Terry Taylor,PF,23,IND,26,2,8.8,1.2,2.5,.462,0.2,0.7,.222,1.0,1.8,.553,.492,0.2,0.3,.714,0.8,0.7,1.5,0.4,0.1,0.2,0.3,0.9,2.7
Terry Taylor,PF,23,CHI,2,0,3.0,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0
Garrett Temple,SG,36,NOP,19,0,7.0,0.8,1.9,.405,0.5,1.1,.429,0.3,0.8,.375,.527,0.2,0.2,.750,0.1,0.5,0.6,0.5,0.5,0.1,0.2,0.7,2.2
Dalen Terry,SG,20,CHI,26,0,4.9,0.7,1.5,.450,0.2,0.6,.333,0.5,1.0,.520,.513,0.2,0.4,.500,0.3,0.5,0.7,0.6,0.2,0.2,0.2,0.4,1.8
Daniel Theis,C,30,IND,7,1,15.6,3.0,6.3,.477,0.3,1.6,.182,2.7,4.7,.576,.500,0.7,1.7,.417,1.0,2.1,3.1,1.3,0.3,0.9,0.4,1.0,7.0
Cam Thomas,SG,21,BRK,46,3,17.2,3.6,8.1,.441,0.9,2.3,.383,2.7,5.8,.464,.496,2.9,3.4,.854,0.2,1.6,1.7,1.6,0.4,0.1,1.1,1.1,11.0
Klay Thompson,SG,32,GSW,52,52,32.7,7.9,18.4,.430,4.3,10.6,.409,3.6,7.8,.459,.548,1.9,2.2,.893,0.6,3.4,4.1,2.5,0.7,0.3,1.8,1.9,22.1
JT Thor,PF,20,CHO,52,4,11.7,0.9,2.6,.358,0.3,1.3,.246,0.6,1.4,.458,.416,0.3,0.6,.621,0.6,1.3,1.8,0.4,0.3,0.2,0.4,0.8,2.5
Matisse Thybulle,SG,25,TOT,56,13,14.4,1.3,2.9,.451,0.7,1.7,.394,0.7,1.3,.529,.564,0.2,0.2,.692,0.6,1.1,1.7,0.6,1.1,0.4,0.2,1.5,3.5
Matisse Thybulle,SG,25,PHI,49,6,12.1,1.0,2.4,.431,0.4,1.3,.333,0.6,1.1,.547,.522,0.2,0.2,.750,0.4,0.9,1.3,0.5,0.9,0.3,0.2,1.3,2.7
Matisse Thybulle,SG,25,POR,7,7,30.7,3.4,6.9,.500,2.3,4.4,.516,1.1,2.4,.471,.667,0.0,0.1,.000,1.6,2.7,4.3,1.9,2.1,1.6,0.6,3.0,9.1
Xavier Tillman Sr.,PF,24,MEM,43,12,16.4,2.4,4.1,.594,0.1,0.3,.308,2.3,3.8,.617,.606,0.8,1.5,.538,1.9,2.5,4.4,1.3,0.8,0.4,0.6,1.5,5.7
Isaiah Todd,PF,21,WAS,4,0,3.3,0.3,1.0,.250,0.0,0.8,.000,0.3,0.3,1.000,.250,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Obi Toppin,PF,24,NYK,50,0,14.7,2.3,5.5,.408,1.1,3.3,.335,1.2,2.3,.513,.507,0.5,0.7,.758,0.5,2.5,3.0,0.8,0.3,0.2,0.5,1.0,6.1
Juan Toscano-Anderson,SF,29,TOT,35,7,12.4,1.0,2.3,.456,0.1,0.7,.208,0.9,1.6,.564,.487,0.3,0.4,.733,0.5,1.7,2.2,0.9,0.3,0.2,0.6,1.5,2.5
Juan Toscano-Anderson,SF,29,LAL,30,7,12.2,1.1,2.2,.500,0.1,0.7,.200,1.0,1.5,.630,.530,0.4,0.5,.733,0.5,1.6,2.0,0.8,0.3,0.2,0.6,1.5,2.7
Juan Toscano-Anderson,SF,29,UTA,5,0,14.0,0.6,2.6,.231,0.2,0.8,.250,0.4,1.8,.222,.269,0.0,0.0,0,0.4,2.8,3.2,1.0,0.4,0.2,0.6,1.6,1.4
Karl-Anthony Towns,PF,27,MIN,21,21,33.8,7.3,14.4,.505,1.8,5.6,.325,5.5,8.9,.618,.568,4.4,5.0,.885,1.7,6.5,8.2,5.3,0.8,0.7,3.1,3.9,20.8
Gary Trent Jr.,SG,24,TOR,55,43,33.2,6.4,14.7,.433,2.6,7.2,.366,3.7,7.5,.498,.523,2.8,3.3,.842,0.4,2.2,2.6,1.6,1.6,0.3,0.9,1.6,18.2
P.J. Tucker,PF,37,PHI,60,60,26.0,1.3,3.0,.433,0.8,1.8,.417,0.5,1.2,.457,.559,0.3,0.4,.864,1.3,2.7,4.0,0.8,0.5,0.2,0.6,2.5,3.6
Myles Turner,C,26,IND,54,54,30.0,6.5,11.9,.547,1.7,4.2,.400,4.8,7.7,.626,.617,3.5,4.4,.786,1.5,6.4,7.9,1.4,0.6,2.3,1.7,3.4,18.1
Stanley Umude,SG,23,DET,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Jonas Valančiūnas,C,30,NOP,61,61,24.9,5.6,10.4,.542,0.5,1.5,.337,5.1,8.9,.577,.566,2.5,3.0,.821,2.8,6.9,9.7,1.7,0.3,0.5,1.9,3.1,14.2
Jarred Vanderbilt,PF,23,TOT,60,47,24.2,3.3,5.9,.558,0.4,1.1,.328,2.9,4.8,.609,.588,1.3,1.9,.681,2.4,5.5,7.8,2.6,1.1,0.3,1.3,2.5,8.2
